<Trait>	Daidzein	Glycitein	Genistein	Daidzin	Glycitin	Genistin	Malonyl_daidzin	Malonyl_glycitin	Malonyl_genistin	Acetyl_daidzin	Acetyl_genistin	Total_isoflavone
5237	2.03	12.04	5.4	90.96	50.77	231.7	264.5	95.79	672.52	70.56	0.89	1497.15
94Seori	5.94	14.23	6.49	251.9	28.63	308.64	585.13	56.24	775.15	81.97	1.15	2115.45
Bangsa	11.96	11.49	7.85	471.97	131.48	391.45	1238.97	237.03	971.73	113.64	3.25	3590.83
Bangsa25	3.75	10.35	4.38	195.11	66.52	237.71	580.08	118.94	679.87	78.4	1.88	1976.98
Bangsa63	3.16	9.32	3.66	178.24	62.15	206.27	536.62	104.59	596.7	70.05	2.37	1773.12
Bangsa73	4.08	9.41	4.3	189.1	48.65	211.59	540.86	124.82	582.54	70.92	2.63	1788.9
Bangsa74	4.37	9.39	4.71	197.77	66.92	219.09	526.95	110.38	567.11	71.68	2.43	1780.79
Bangsa84	6.75	12.89	6.99	287	98.4	329.49	729.16	147.12	835.82	98.93	3.13	2555.67
DB003	9.87	14.07	9.44	543.46	144.12	520.04	1320.71	264.57	1210.99	131.74	3.34	4172.35
DB004	9.87	14.21	8.68	444.59	140.3	403.61	963.76	218.32	900.88	102.9	1.14	3208.27
DB005	7.64	16.46	10.74	383.37	105.41	535.01	1017.17	192.12	1338.35	144.07	1.94	3752.29
DB006	2.62	12.99	5.31	186.96	59.92	300.15	517.97	122.69	816.83	86.18	1.2	2112.82
DB007	2.89	15.86	6.57	175.82	77.98	347.49	462.62	139.46	939.83	98.52	1.61	2268.64
DB008	3.18	16.76	6.99	206.23	91.61	463.05	590.28	160.27	1216.61	130.31	2.24	2887.52
DB009	2.32	12.54	4.33	154.24	65.42	239.31	437.16	130.89	675.25	75.27	1.09	1797.8
DB010	2.08	11.62	4.26	135.33	74.63	243.54	391.27	129.16	662.24	71.22	1.1	1726.45
DB016	9.01	15.96	10.8	556.89	102.58	581.96	1231.06	149.99	1282.96	135.8	2.03	4079.06
DB019	12.08	15.88	11.1	549.13	107.12	524.78	1231.89	176.81	1211.55	135.76	2.54	3978.63
DB024	8.34	13.8	7.43	402.08	93.51	377.9	927.48	145.94	915.45	104.48	2.24	2998.66
DB026	4.54	12.9	7.22	316.32	231.22	437.57	736.82	393.29	968.48	112.89	3.39	3224.63
DB027	9.61	11.42	11.28	381.48	176.95	471.42	810.62	281.7	1026.52	112.28	4.55	3297.82
DB029	9.38	17	10.52	565.24	119.5	590.28	1288.55	195.32	1334.88	142.88	1.56	4275.12
DB030	15.55	17.23	14.35	603.13	118.87	562.92	1323.51	207.4	1269.35	138.07	1.99	4272.38
DB031	8.29	13.14	10.89	515.95	134.16	533.71	1127.57	190.63	1165.35	125.01	1.36	3826.05
DB033	7.63	15.3	9.16	538.46	100.02	534.44	1297.78	176.35	1304.83	144.61	2.14	4130.71
DB034	14.83	16.06	12.14	866.08	270.94	620.38	2254.16	510.91	1510.84	173.65	4.3	6254.31
DB035	8.67	18.88	9.71	608.66	103.1	639.35	1548.26	191.94	1579.12	165.75	1.25	4874.69
DB036	3.36	10.55	4.01	201.1	165.33	274.87	536.81	297.29	682.35	84.18	3.19	2263.05
DB037	3.25	9.72	3.94	212.57	153.04	282.46	579.3	281.17	686.53	76.69	2.65	2291.3
DB038	3.94	10.28	4.4	208.61	176.42	282.44	517.72	324.19	655.44	85.92	3.54	2272.92
DB039	3.34	11.84	4.59	206.11	149.47	317.57	499.16	250.66	763.16	93.18	3.04	2302.12
DB040	5.01	15.88	5.73	262.98	164.89	422.05	615.35	268.23	950.31	111.45	5.04	2826.91
DB041	3.24	13.09	3.76	200.77	131.81	337.16	531.53	243.95	841.45	93.68	2.92	2403.36
DB044	7.92	17.3	9.53	464.37	253.33	642.25	1076.1	431.44	1376.91	151.12	4.85	4435.12
DB045	4.86	15.23	5.51	327.95	186.3	490.65	816.34	321.77	1139.17	124.49	3.83	3436.09
DB046	5.53	14.74	7.39	373.1	185.56	533.09	1045.41	328.47	1437.71	157.36	3.89	4092.26
DB049	4.59	16.45	6.5	359.26	245.05	543.39	1017.76	431.73	1389.3	149.89	4.76	4168.66
DB050	8.69	16.84	9.01	420.21	265.32	550.81	1200.46	512.13	1449.16	156.69	7.43	4596.74
DB051	5.9	13.3	5.68	425.92	352.5	473.52	1237.69	681.26	1217.92	134.67	6.39	4554.75
DB054	5.96	14.72	5.87	396.08	235.7	464.57	992.54	458.9	1134.9	134.12	4.05	3847.43
DB056	5.94	13.64	5.45	368.19	218.72	391	1060.21	436	1079.64	124.04	3.83	3706.66
DB059	5.86	15.47	5.99	368.15	96.97	503.5	936.88	170.05	1223.56	133.75	2.29	3462.47
DB060	2.17	13.18	2.62	184.93	104.82	271.5	525.83	226.92	757.56	94.24	2.54	2186.32
DB061	7.23	18.14	8.03	444.89	157.69	611.26	1089.46	286.81	1536.7	174.7	3.96	4338.86
DB062	4.43	11.65	5.5	216.73	127.69	295.45	588.37	240.5	753.69	84.25	3.29	2331.55
DB063	3.3	10.14	3.7	177	90.8	230.11	463.05	164.75	577.66	67.99	2.37	1790.87
DB064	1.53	10.02	3.37	132.46	58.21	248.25	379.31	118.1	675.86	72.28	2.16	1701.56
DB065	8.04	12.21	9.35	328.63	192.8	450.51	673.14	229.57	936.76	105.23	4.64	2950.88
DB067	8.34	14.06	6.72	585.25	222.44	448.17	1429.91	451.72	1071.79	129.05	4.6	4372.05
DB068	8.82	9.04	5.78	333.33	102.52	290.64	762.6	200.43	617.96	70.51	3.17	2404.79
DB072	5.18	17.52	4.76	269.36	84.46	366.19	735.01	149.98	979.02	117.76	3.09	2732.33
DB073	2.78	12.26	3.45	158.67	52.59	237.89	404.81	94.93	599.46	80.03	3.48	1650.34
DB074	6.53	17.83	7.54	339.91	68.53	478.31	858.76	130.3	1211.43	142.16	1.97	3263.26
DB076	4.82	14.68	5.35	285.02	90.49	357.76	777.79	171.88	992.78	116.33	1.75	2818.64
DB078	6.05	12.64	5.01	273.81	84.31	307.82	656.24	157.13	796.94	86.09	2.39	2388.43
DB079	3.56	11.24	3.67	175.74	61.81	240.86	412.36	112.03	603.24	66.71	1.52	1692.72
DB080	3.72	13.49	3.62	217.97	66.56	272.88	602.25	111.93	742.69	88.68	2.29	2126.07
DB085	4.02	10.86	4.42	237.54	134.18	361.94	621.21	222.21	861.28	97.2	2.49	2557.35
DB086	4.66	16.11	5.08	342.85	152.4	449.25	901.41	249.66	1167.77	128.21	2.57	3419.97
DB087	11.04	26.45	13.79	596.84	77.69	886.37	1499.36	107.68	2251.61	233.7	3.84	5708.37
DB088	12.36	30.4	14.45	758.34	129.34	971.97	2002.47	168.69	2628.58	271.71	4.75	6993.06
DB089	13.99	29.29	14.45	755.78	147.77	1097.23	2010.76	236.28	2358.45	270.76	5.02	6939.78
DB090	5.41	15.81	5.38	277.54	233.67	452.6	643.63	341.54	997.7	116.39	4.99	3094.65
DB091	18.89	14.49	8.5	287.11	207.18	451.32	658.2	300.09	1035.38	121.69	3.89	3106.75
DB092	4.18	15.2	6.31	275.16	204.07	444.31	716.85	329.45	1106.73	128.95	4.05	3235.26
DB093	3.53	13.55	5.03	272.13	214.41	416.29	778.13	399.45	1034.81	112.22	4.02	3253.57
DP009	5.11	18.15	4.74	292.17	117.99	413.05	723.61	229.45	1018.11	113.73	3.75	2939.85
DP012	7.06	15.42	6.46	375.48	138.78	448.61	863.55	256.19	1016.94	113.93	4.31	3246.73
DP027	2.43	16.16	5.02	274.99	165.09	437.76	649.01	265.75	1061.7	121.67	3.11	3002.69
DP028	6.2	17.82	6.03	258.59	150.42	425.01	579.43	235.45	1004.47	115.92	5.06	2804.41
DP029	7.59	18.54	7.88	322.32	144.21	467.93	820.28	281.04	1216.61	124.85	3.31	3414.55
DP046	4.78	20.2	5.54	284.39	112.17	447.77	700.81	223.17	1111.38	127.58	3.56	3041.36
DP048	3.26	19.46	6.11	356.92	194.42	545.09	920.35	325.01	1382.88	155.59	2.54	3911.63
DP051	4.1	16.47	6.51	368.42	169.9	505.69	877.44	281.78	1217.32	135.34	2.86	3585.84
DP052	2.59	15.81	4.82	276.98	150.38	451.42	700.68	251.22	1130.48	127.28	2.22	3113.9
DP053	2.83	16.47	4.8	264.43	144.23	419.83	686.42	245.26	1054.53	121.92	2.5	2963.23
DP054	4.18	18.05	6.74	344.62	233.49	539.48	836.75	370.53	1239.6	137.4	3.24	3734.09
DP055	7.33	19.94	7.96	426.29	206.15	542.68	1046.23	328.87	1357.89	148.41	3.81	4095.58
