<PCA>								
<ID>	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
5237	17.379347	-24.325224	28.53096	12.545838	-21.814785	-19.414787	-21.050922	2.9979248
94Seori	14.812084	-18.378826	-1.0473148	-4.84423	-0.20344238	8.107533	1.8626696	3.9822583
Bangsa	-6.937437	-0.9791581	-6.1540375	12.580733	-2.6571279	4.879934	-5.707561	4.8196115
Bangsa25	20.151064	-24.85218	20.07806	31.85598	-6.0753317	6.6802244	33.6832	-0.62743765
Bangsa63	15.119343	-18.934715	14.388037	23.12997	-4.3565674	5.8884377	24.18866	-2.3116896
Bangsa73	20.038036	-24.425356	19.659832	31.528307	-6.0158386	6.8445635	33.526505	-0.68837935
Bangsa74	20.227411	-25.09568	20.150444	32.306305	-6.1648297	6.6401	34.10696	-0.46614364
Bangsa84	20.385132	-24.876877	20.142517	32.148514	-6.120613	6.8669577	34.01345	-0.57699347
DB003	7.112868	-12.164431	34.39399	-11.208114	-16.455927	-10.082992	-16.77656	5.453592
DB004	6.872239	-13.546271	36.135326	-7.4378076	-15.418722	-11.717391	-16.764265	3.856413
DB005	5.4472837	-11.931004	33.969967	-11.786726	-14.993166	-7.8937454	-16.102093	6.622472
DB006	5.149171	-10.370774	26.769663	-8.498181	-11.713219	-6.908472	-12.453037	2.7814884
DB007	-9.204057	2.594325	15.208806	-22.570068	4.336882	6.8795958	5.3897686	2.0694373
DB008	-10.940031	3.4709482	16.123245	-25.180817	4.2640743	9.344183	7.9099298	3.6274936
DB009	-10.056609	3.217357	17.82531	-25.743347	3.2480648	10.577724	5.2107882	4.1528897
DB010	-6.522652	2.6583643	12.463373	-18.165552	5.2603846	3.7426527	5.183675	1.4612627
DB016	-7.79318	2.0659223	13.512205	-20.088448	3.842469	5.828523	5.1911016	0.3969314
DB019	-13.236047	4.1449504	18.396973	-28.354715	4.6006303	10.554095	9.118935	5.660803
DB024	-4.4872704	0.881564	10.142796	-14.462261	1.8992075	7.7949147	2.240947	-1.2968472
DB026	-4.805348	1.7343277	10.129049	-14.408264	4.3527308	3.53975	3.7845109	-0.02551883
DB027	-3.7739425	2.1562204	13.280318	-18.736984	5.154402	3.995258	4.8511715	5.759486
DB029	-8.894788	1.9091477	15.863777	-24.086786	5.5674396	8.33559	8.198842	2.1781282
DB030	-11.294234	2.9037132	18.567923	-28.257803	7.0699396	8.37258	10.575285	4.9249353
DB031	-11.482585	0.6844806	17.02072	-25.445797	5.2501435	9.963992	8.127524	9.875564
DB033	-5.112434	0.7629936	12.95813	-18.634893	3.2523313	9.068765	4.7736893	2.3237555
DB034	-8.342515	2.4447927	18.343916	-27.005215	4.738004	10.405245	8.186858	6.8479137
DB035	-2.8742113	-0.7975068	6.3523746	-8.885582	2.121236	4.2117524	2.0784473	-3.315826
DB036	-23.1858	3.7498093	-4.2476034	1.0716732	0.2745738	-1.0170283	4.813604	-10.101461
DB037	-12.526421	1.3932317	-1.8076079	0.5181055	0.55998284	1.2236072	1.5771347	-7.9153323
DB038	-15.769209	2.0576365	-2.3746855	0.53647363	0.32396042	0.78161794	2.7606063	-9.893361
DB039	-18.185	2.3719068	-2.6030362	0.6127457	0.5107152	1.0205356	3.2557666	-10.525981
DB040	-29.462393	4.447862	-4.808133	1.0728071	0.72068423	-1.7016293	5.971649	-10.730528
DB041	-26.001823	3.5896816	-3.54385	-0.73913133	0.5591039	-1.1702819	5.456481	-14.491356
DB044	-27.166723	5.1256456	-3.2479527	-0.7830419	1.1055177	-3.8413956	6.7328424	-13.171552
DB045	-27.599022	4.2421665	-3.5057783	-0.06901665	0.75047404	-3.5144732	6.222993	-14.378633
DB046	-23.132072	3.8129127	0.19931488	-3.6529183	1.1286519	-3.1863284	3.393198	-6.795196
DB049	-29.07671	5.2201004	-0.26040646	-4.5293427	0.8672222	-6.0037127	5.476109	-7.0089912
DB050	-25.031073	4.9063945	-1.2818859	-1.8043423	1.2775095	-3.6669016	3.2947226	-4.2684355
DB051	-27.50531	4.038197	-1.2755998	-3.1166203	-0.59004873	-3.6785061	5.0627007	-6.289916
DB054	-26.181374	3.9242628	-6.7444215	8.634235	-1.859713	4.111198	-3.6295643	-0.30086812
DB056	-28.174417	5.752418	-5.8850746	4.1658893	-1.8025618	0.91286415	-1.2248085	0.6665134
